# XviD 2pass stat file (core version 1.3.5)
# Please do not modify this file

i 2 1350 0 0 3764 3764
b 4 0 1350 0 88 88
b 4 0 1350 0 88 88
p 2 0 90 1260 481 256
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 178 178
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 4 1346 184 182
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 4 1346 184 182
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 178 178
b 4 0 1350 0 9 9
b 4 0 1350 0 9 9
p 2 0 0 1350 177 177
b 4 0 1350 0 170 170
b 4 0 1350 0 402 206
p 2 6 167 1177 5439 430
b 4 0 1350 0 3498 732
p 2 37 433 880 23129 1136
b 4 0 1350 0 4443 989
p 2 40 519 791 35599 1464
b 4 0 1350 0 2920 806
b 4 0 1350 0 4462 883
p 2 24 550 776 37267 1340
b 4 0 1350 0 3492 879
b 4 0 1350 0 3578 797
p 2 22 550 778 33273 1327
b 4 0 1350 0 4017 776
b 4 0 1350 0 5431 859
p 2 13 571 766 30032 1190
b 4 0 1350 0 3241 623
b 4 0 1350 0 4378 691
p 2 10 565 775 33693 1185
b 4 0 1350 0 6572 962
b 4 0 1350 0 3607 747
p 2 4 616 730 40900 1198
b 4 0 1350 0 5562 895
b 4 0 1350 0 4592 865
p 2 0 605 745 32728 1175
b 4 0 1350 0 4084 684
b 4 0 1350 0 5235 782
p 2 2 606 742 34352 1167
b 4 0 1350 0 7129 985
b 4 0 1350 0 4740 786
p 2 0 570 780 32562 1115
b 4 0 1350 0 6052 905
b 4 0 1350 0 4177 766
p 2 0 637 713 31895 1176
b 4 0 1350 0 6146 829
b 4 0 1350 0 5943 979
p 2 2 598 750 36548 1220
